#,RA,Dec,image_nb,ccd,X,Y,CaHK_uncalib,d_CaHK,flag,Xg,Yg,run,FOV_corr,CaHK_calib
250.89362083,44.57723056,2654,1,1965.22,2302.29,19.438,0.001,-1,82.8,2302.3,,17Am05,,
250.89334167,44.57718333,2654,1,1961.01,2303.33,19.448,0.001,-1,87.0,2303.3,,17Am05,,
250.8944,44.48095556,2654,1,1968.97,4179.88,21.318,0.001,-9,79.0,4179.9,,17Am05,,
250.8401375,44.52576389,2654,1,1213.61,3315.49,21.344,0.001,-9,834.4,3315.5,,17Am05,,
250.85612083,44.68892778,2654,1,1453.81,119.78,21.828,0.002,-1,594.2,119.8,,17Am05,,
250.80076667,44.59180556,2654,1,670.35,2032.99,21.997,0.002,-9,1377.7,2033.0,,17Am05,,
250.78564583,44.51328611,2654,1,452.94,3565.98,22.341,0.002,-1,1595.1,3566.0,,17Am05,,
250.8667625,44.47175278,2654,1,1582.28,4362.97,23.265,0.003,0,465.7,4363.0,,17Am05,,
250.87832083,44.48699167,2654,1,1744.23,4064.79,23.319,0.003,-1,303.8,4064.8,,17Am05,,
250.88435833,44.66624167,2654,1,1845.58,559.92,23.341,0.003,-1,202.4,559.9,,17Am05,,
250.80615417,44.61953611,2654,1,748.2,1490.07,23.421,0.003,0,1299.8,1490.1,,17Am05,,
250.805925,44.61943611,2654,1,745.15,1491.98,23.527,0.004,0,1302.8,1492.0,,17Am05,,
250.89306667,44.45913333,2654,1,1949.21,4604.68,23.959,0.005,-1,98.8,4604.7,,17Am05,,
250.80017917,44.55786944,2654,1,659.23,2695.58,23.986,0.005,-1,1388.8,2695.6,,17Am05,,
250.7717625,44.61651111,2654,1,268.89,1554.49,24.0,0.005,-1,1779.1,1554.5,,17Am05,,
250.81717083,44.52618611,2654,1,893.53,3310.62,24.342,0.005,-1,1154.5,3310.6,,17Am05,,
250.8965,44.47950833,2654,1,1998.33,4207.71,24.387,0.006,-1,49.7,4207.7,,17Am05,,
250.88411667,44.65328611,2654,1,1840.5,814.4,24.387,0.006,-1,207.5,814.4,,17Am05,,
250.7849125,44.52067222,2654,1,443.58,3422.38,24.4,0.006,-1,1604.4,3422.4,,17Am05,,
250.853875,44.57565556,2654,1,1409.54,2339.96,24.524,0.006,-1,638.5,2340.0,,17Am05,,
250.8880375,44.49736667,2654,1,1880.83,3861.42,24.719,0.007,-1,167.2,3861.4,,17Am05,,
250.8521,44.46574167,2654,1,1377.02,4481.96,24.829,0.007,0,671.0,4482.0,,17Am05,,
250.8359375,44.47783333,2654,1,1151.85,4248.94,24.832,0.007,0,896.2,4248.9,,17Am05,,
250.7622875,44.49885556,2654,1,126.83,3849.62,24.848,0.007,0,1921.2,3849.6,,17Am05,,
250.81525,44.60508611,2654,1,873.47,1771.19,24.881,0.007,-1,1174.5,1771.2,,17Am05,,
250.80787917,44.46472778,2654,1,759.82,4507.36,24.894,0.007,0,1288.2,4507.4,,17Am05,,
250.8796375,44.47226667,2654,1,1762.18,4351.18,24.946,0.007,0,285.8,4351.2,,17Am05,,
250.87155,44.62513333,2654,1,1661.5,1368.87,25.033,0.008,-1,386.5,1368.9,,17Am05,,
250.83979583,44.631775,2654,1,1218.55,1244.61,25.042,0.008,0,829.4,1244.6,,17Am05,,
250.87487083,44.58616389,2654,1,1703.64,2131.04,25.066,0.008,0,344.4,2131.0,,17Am05,,
250.75955417,44.524975,2654,1,90.68,3341.8,25.084,0.008,-1,1957.3,3341.8,,17Am05,,
250.82627083,44.55786944,2654,1,1022.91,2691.66,25.097,0.008,0,1025.1,2691.7,,17Am05,,
250.89555833,44.62649722,2654,1,1997.04,1337.58,25.136,0.008,-1,51.0,1337.6,,17Am05,,
250.79069167,44.50601111,2654,1,522.83,3706.93,25.217,0.008,0,1525.2,3706.9,,17Am05,,
250.7952,44.510075,2654,1,585.9,3627.23,25.222,0.009,0,1462.1,3627.2,,17Am05,,
250.84824167,44.59004444,2654,1,1332.34,2059.74,25.258,0.009,-1,715.7,2059.7,,17Am05,,
250.8799625,44.50885556,2654,1,1768.84,3638.86,25.268,0.009,0,279.2,3638.9,,17Am05,,
250.75338333,44.63885,2654,1,15.94,1120.19,25.304,0.009,0,2032.1,1120.2,,17Am05,,
250.8508625,44.65846667,2654,1,1376.18,719.21,25.337,0.009,0,671.8,719.2,,17Am05,,
250.7560375,44.49510833,2654,1,39.93,3923.14,25.338,0.009,0,2008.1,3923.1,,17Am05,,
250.78514167,44.67349444,2654,1,461.9,436.11,25.371,0.009,0,1586.1,436.1,,17Am05,,
250.82194167,44.68863333,2654,1,976.74,132.27,25.426,0.009,0,1071.3,132.3,,17Am05,,
250.83072917,44.67608056,2654,1,1097.79,377.18,25.441,0.009,0,950.2,377.2,,17Am05,,
250.79614167,44.62496111,2654,1,609.48,1385.42,25.446,0.01,-1,1438.5,1385.4,,17Am05,,
250.8203125,44.62493889,2654,1,946.06,1381.83,25.447,0.01,0,1101.9,1381.8,,17Am05,,
250.77566667,44.64290278,2654,1,326.2,1037.4,25.45,0.01,0,1721.8,1037.4,,17Am05,,
250.80799167,44.56269167,2654,1,768.52,2600.31,25.48,0.01,-1,1279.5,2600.3,,17Am05,,
250.83919167,44.66237778,2654,1,1213.83,644.59,25.496,0.01,-1,834.2,644.6,,17Am05,,
250.82189167,44.65868056,2654,1,972.11,720.39,25.521,0.01,0,1075.9,720.4,,17Am05,,
250.77734167,44.49380556,2654,1,336.38,3945.93,25.544,0.01,0,1711.6,3945.9,,17Am05,,
250.78255,44.47522222,2654,1,407.54,4306.51,25.552,0.01,-1,1640.5,4306.5,,17Am05,,
250.78497917,44.57847222,2654,1,449.14,2295.75,25.56,0.01,-1,1598.9,2295.8,,17Am05,,
250.80120417,44.5047,2654,1,669.27,3731.09,25.561,0.01,0,1378.7,3731.1,,17Am05,,
250.85800833,44.60766389,2654,1,1470.3,1713.47,25.601,0.01,0,577.7,1713.5,,17Am05,,
250.83177083,44.48533056,2654,1,1094.32,4103.73,25.655,0.011,0,953.7,4103.7,,17Am05,,
250.75822083,44.48493889,2654,1,69.69,4120.5,25.673,0.011,0,1978.3,4120.5,,17Am05,,
250.80957083,44.58149722,2654,1,791.94,2233.0,25.684,0.011,0,1256.1,2233.0,,17Am05,,
250.79809583,44.46616389,2654,1,623.58,4480.62,25.701,0.011,0,1424.4,4480.6,,17Am05,,
250.8477875,44.63174444,2654,1,1330.27,1243.85,25.717,0.011,0,717.7,1243.8,,17Am05,,
250.77498333,44.52003889,2654,1,305.09,3435.97,25.735,0.011,0,1742.9,3436.0,,17Am05,,
250.87775,44.666275,2654,1,1753.14,560.63,25.736,0.011,0,294.9,560.6,,17Am05,,
250.7762375,44.47053333,2654,1,319.4,4398.26,25.836,0.012,0,1728.6,4398.3,,17Am05,,
250.76176667,44.515125,2654,1,120.74,3533.11,25.841,0.012,0,1927.3,3533.1,,17Am05,,
250.83602083,44.60298056,2654,1,1162.82,1808.8,25.858,0.012,0,885.2,1808.8,,17Am05,,
250.82194167,44.65849722,2654,1,972.85,724.01,25.864,0.012,0,1075.2,724.0,,17Am05,,
250.81409583,44.52949722,2654,1,850.74,3246.58,25.902,0.012,0,1197.3,3246.6,,17Am05,,
250.76531667,44.48046389,2654,1,167.87,4206.61,25.914,0.012,-1,1880.1,4206.6,,17Am05,,
250.753875,44.53956667,2654,1,12.77,3058.4,25.917,0.012,0,2035.2,3058.4,,17Am05,,
250.8373875,44.461275,2654,1,1171.21,4570.62,25.931,0.012,0,876.8,4570.6,,17Am05,,
250.78815,44.50710556,2654,1,487.52,3685.96,25.949,0.013,-1,1560.5,3686.0,,17Am05,,
250.81162083,44.55578056,2654,1,818.19,2734.57,25.953,0.013,0,1229.8,2734.6,,17Am05,,
250.87705,44.61923611,2654,1,1737.59,1483.37,25.957,0.013,0,310.4,1483.4,,17Am05,,
250.8136375,44.55159722,2654,1,846.02,2815.84,25.969,0.013,0,1202.0,2815.8,,17Am05,,
250.76945,44.49911111,2654,1,226.83,3843.69,25.972,0.013,-1,1821.2,3843.7,,17Am05,,
250.87680833,44.54516944,2654,1,1727.14,2931.31,25.993,0.013,-1,320.9,2931.3,,17Am05,,
250.76429167,44.59938056,2654,1,163.34,1890.46,25.997,0.013,0,1884.7,1890.5,,17Am05,,
250.88741667,44.57348056,2654,1,1877.76,2376.68,25.999,0.013,0,170.2,2376.7,,17Am05,,
250.82247917,44.55864444,2654,1,970.02,2677.07,26.004,0.013,0,1078.0,2677.1,,17Am05,,
250.77665833,44.69201944,2654,1,346.38,73.79,26.006,0.013,0,1701.6,73.8,,17Am05,,
250.78256667,44.61354722,2654,1,419.16,1610.89,26.009,0.013,-1,1628.8,1610.9,,17Am05,,
250.79130833,44.64637222,2654,1,544.57,966.94,26.018,0.013,0,1503.4,966.9,,17Am05,,
