#,RA,Dec,image_nb,ccd,X,Y,CaHK_uncalib,d_CaHK,flag,Xg,Yg,image_runid,run,ZPT_corr,FOV_corr,CaHK_calib
195.8796875,27.70763611,13045,1,1514.42,2783.73,20.433,0.001,-1,533.6,2783.7,,0,25Am02,-0.10000685602426529,,
195.90229583,27.739325,13045,1,1911.63,2161.37,22.318,0.002,-1,136.4,2161.4,,0,25Am02,-0.10000685602426529,,
195.85055417,27.783875,13045,1,1021.4,1298.06,24.206,0.005,-1,1026.6,1298.1,,0,25Am02,-0.10000685602426529,,
195.79540833,27.79378333,13045,1,68.99,1112.16,24.225,0.005,-1,1979.0,1112.2,,0,25Am02,-0.10000685602426529,,
195.83471667,27.77411111,13045,1,745.68,1491.57,24.362,0.005,-1,1302.3,1491.6,,0,25Am02,-0.10000685602426529,,
195.80822083,27.82173333,13045,1,295.1,562.69,24.878,0.007,-1,1752.9,562.7,,0,25Am02,-0.10000685602426529,,
195.86043333,27.63294167,13045,1,1171.66,4241.08,24.894,0.007,-1,876.3,4241.1,,0,25Am02,-0.10000685602426529,,
195.82482083,27.61584167,13045,1,553.63,4576.99,25.053,0.008,-1,1494.4,4577.0,,0,25Am02,-0.10000685602426529,,
195.80122083,27.72943889,13045,1,159.46,2368.85,25.064,0.008,-1,1888.5,2368.9,,0,25Am02,-0.10000685602426529,,
195.86605,27.78589722,13045,1,1290.43,1255.88,25.111,0.008,-1,757.6,1255.9,,0,25Am02,-0.10000685602426529,,
